"מספר מושמים  ברשויות אחרות","מספר מושמים  ברשות הנבחרת","רשות  מסגרת/שלוחה","שם שלוחה","שם מסגרת","סמל מסגרת","תוכנית","סוג מסגרת","סוג סידור","יחידה אחראית","מינהל"
2,0,"ירושלים"," ","מרכ' רב שרותים לעוור",910322,"הארכת יום לימודים לאנשים עם מוגבלות","מרכז רב שרותים","בקהילה","השרות לעיוור","מינהל מוגבלויות"
3,0,"ירושלים"," ","קרן אור",1735,"מועדונית לאנשים עם מוגבלות","פנימיה","חוץ ביתי","השרות לעיוור","מינהל מוגבלויות"
1,0,"ירושלים"," ","שלווה-מעדונית ים",211002,"מועדונית לאנשים עם מוגבלות","מועדונית שיקומית","בקהילה","שיקום ונכים","מינהל מוגבלויות"
0,5,"גוש עציון"," ","רמת דוד חינוך מיוחד",213811,"מעון יום שיקומי","מעון יום","בקהילה","שיקום ונכים","מינהל מוגבלויות"
2,0,"ביתר עילית"," ","פרח לצמוח מעון ברסלב",220179,"מעון יום שיקומי","מעון יום","בקהילה","שיקום ונכים","מינהל מוגבלויות"
1,0,"מעלה אדומים"," ","שירות משלים למשפחה",218986,"מעטפת לאנשים עם מוגבלות","מעטפת","בקהילה","שיקום ונכים","מינהל מוגבלויות"
0,39,"גוש עציון"," ","מרכז למשפחות גוש עצי",218988,"מעטפת לאנשים עם מוגבלות","מעטפת","בקהילה","שיקום ונכים","מינהל מוגבלויות"
2,0,"כפר סבא"," ","מכון פוירשטיין-נ.ראש",208988,"מרכז יום לבוגרים","מרכז טיפולי","בקהילה","שיקום ונכים","מינהל מוגבלויות"
1,0,"ירושלים"," ","בית אדליס עמותת אילן",213748,"מרכז יום לבוגרים","מרכז טיפולי","בקהילה","שיקום ונכים","מינהל מוגבלויות"
1,0,"שדרות"," ","גוונים-שילוב במדים",217882,"תוכניות צבא","סדנאות מעבר","בקהילה","שיקום ונכים","מינהל מוגבלויות"
